Measure Names,reg_area_cod,species,year,Measure Values
discards,7BCEFGHJK,BSS,2010,7.976368
landings,7BCEFGHJK,BSS,2010,311.1844
discards,7BCEFGHJK,BSS,2011,7.574
landings,7BCEFGHJK,BSS,2011,355.64487
discards,7BCEFGHJK,BSS,2012,78.117101
landings,7BCEFGHJK,BSS,2012,294.52317
discards,7BCEFGHJK,BSS,2013,2.931
landings,7BCEFGHJK,BSS,2013,285.5092
discards,7BCEFGHJK,BSS,2014,0
landings,7BCEFGHJK,BSS,2014,231.6547
discards,7BCEFGHJK,BSS,2015,211.563116
landings,7BCEFGHJK,BSS,2015,355.97332
discards,7BCEFGHJK,BZX,2014,
landings,7BCEFGHJK,BZX,2014,0.15175
discards,7BCEFGHJK,BZX,2015,
landings,7BCEFGHJK,BZX,2015,0.1207
discards,7BCEFGHJK,CAA,2003,
landings,7BCEFGHJK,CAA,2003,0.001
discards,7BCEFGHJK,CAA,2004,0
landings,7BCEFGHJK,CAA,2004,0.041
discards,7BCEFGHJK,CAA,2005,0
landings,7BCEFGHJK,CAA,2005,0.007
discards,7BCEFGHJK,CAA,2006,0
landings,7BCEFGHJK,CAA,2006,0.008
discards,7BCEFGHJK,CAA,2008,
landings,7BCEFGHJK,CAA,2008,0.019
discards,7BCEFGHJK,CAA,2009,
landings,7BCEFGHJK,CAA,2009,0.019
discards,7BCEFGHJK,CAA,2011,
landings,7BCEFGHJK,CAA,2011,0.003
discards,7BCEFGHJK,CAA,2012,
landings,7BCEFGHJK,CAA,2012,0.014
discards,7BCEFGHJK,CAP,2010,
landings,7BCEFGHJK,CAP,2010,0.01
discards,7BCEFGHJK,CAP,2012,0.04
landings,7BCEFGHJK,CAP,2012,0
discards,7BCEFGHJK,CAT,2003,
landings,7BCEFGHJK,CAT,2003,2.46
discards,7BCEFGHJK,CAT,2004,10.277
landings,7BCEFGHJK,CAT,2004,0.4149
discards,7BCEFGHJK,CAT,2006,
landings,7BCEFGHJK,CAT,2006,0.11
discards,7BCEFGHJK,CAT,2007,4.281
landings,7BCEFGHJK,CAT,2007,0.17
discards,7BCEFGHJK,CAT,2008,
landings,7BCEFGHJK,CAT,2008,0.04
discards,7BCEFGHJK,CAT,2009,0
landings,7BCEFGHJK,CAT,2009,0.08
discards,7BCEFGHJK,CAT,2010,1.56
landings,7BCEFGHJK,CAT,2010,0
discards,7BCEFGHJK,CAT,2014,
landings,7BCEFGHJK,CAT,2014,0.00437
discards,7BCEFGHJK,CAT,2015,
landings,7BCEFGHJK,CAT,2015,0.03081
discards,7BCEFGHJK,CBC,2004,0.602
